age,income,purchase_frequency,target
29,52709.11999630021,6,295.6021226828401
42,44307.80900814924,8,334.92022238917275
23,72325.1948891499,9,354.68362908782177
61,39394.960679817435,8,327.49528627536847
44,57131.63462655694,4,310.31139026996846
65,48157.1110923828,3,301.7950135338257
44,73114.5672333916,6,338.4188244190311
33,41158.209553313915,6,281.1894966332897
44,43176.840858876014,12,379.03514511786994
26,40362.183240858096,2,210.90084753637436
60,55881.58061140732,14,416.27352343309826
55,35523.392085176296,7,279.41415769165104
25,46257.658062906805,10,341.3429551356205
48,26171.610125748583,7,278.0960561147396
45,54885.05624953708,7,316.7661198269569
28,45997.42169492485,6,287.4401553927132
24,34143.319072817765,7,243.01463384772651
57,65027.3128356887,9,367.7847150421693
31,36307.997219380726,8,260.61332384172584
44,61563.32428033858,9,344.59106380952915
30,43587.510112146345,8,330.32177190428877
51,71218.85653474511,6,348.9753464438383
20,60994.60646711376,4,295.3137153872571
36,39903.42554951167,5,256.2808226999049
46,40995.00937347632,11,362.380693662217
40,59266.30246269172,11,356.0109649067571
49,48851.462431478,9,347.2874834181912
27,49967.88991574361,9,323.39280602886623
40,67266.86634126518,11,439.08983941106226
57,43015.73351956053,12,387.03997279872436
35,53095.525266105455,13,366.33297024562546
26,63455.533523827675,8,351.8120463206656
62,61709.4098606272,12,460.58230913095855
58,50084.64798975193,7,307.17657416981797
53,48533.1294297681,8,323.8166180081617
59,31134.214449748823,2,248.33047771723176
58,39325.06008801765,6,299.90835563319627
56,55820.310718896806,10,372.18548747119615
44,50345.41373269317,3,257.4061821535215
19,52899.12494279472,7,326.6773709565897
49,64471.043315608724,10,359.28991466168503
32,37752.122691252705,11,319.89998919005546
58,49165.8363732082,12,408.8482845816304
42,54264.531560934614,7,328.32536597895216
65,43550.08074910581,9,335.5122781601562
48,69177.725367129,6,328.9819376067788
46,62903.04161935777,9,366.4060993181599
65,55481.599925065064,6,333.8226085331208
42,73530.78135194303,9,391.5661845379456
37,34013.256644678295,5,234.397490334873
37,51907.28462673182,6,324.4752839912161
63,56396.04362720873,10,390.7030777177067
57,41025.33943847293,7,324.2474067639954
26,55608.57450181274,7,341.2386845684258
43,38721.01007454546,18,400.2861101816536
37,60286.68781929104,4,290.4570417439176
51,64694.017217546876,11,389.63276186815625
20,55268.00081353994,3,260.6854702366147
55,29766.42621922065,5,273.7135545426147
56,40398.477746007586,4,271.3830007599797
29,58776.52003855793,8,291.89133501645466
25,52254.38372214839,6,283.290187426716
50,19671.968587690142,8,286.5404505011181
31,66913.96460641889,5,323.7530953379076
66,53639.878075045985,2,330.47084554660853
58,42171.10403199946,14,433.0519389432747
67,63939.467170799966,10,423.4656097707693
45,43869.51984511721,8,349.389452538399
66,43738.57458874943,10,382.01263502276123
18,56300.23181216844,7,338.3984487428845
33,73372.46151090754,7,393.3619957076404
18,71483.04613567464,12,403.58939568692784
53,56316.53798684928,4,330.3606789021902
44,57548.62790620384,8,343.79261237366035
32,61497.987185017904,6,320.5692287507576
33,36916.19589556781,6,266.6756451641304
51,59729.78004582379,9,383.08459230954867
27,43191.118382277666,14,344.3752760173684
44,55821.73680155897,7,330.62134940751974
49,49270.38846871195,13,340.23737923385795
30,58014.499925370576,12,406.49079774619133
29,53417.24158007752,6,297.22499150842873
36,15123.636750144404,8,262.55888224702034
48,54146.70054046217,9,385.0491349751524
31,59705.835427591155,11,372.6175396040059
37,57351.14018006144,9,377.98915440199147
46,50768.96864549704,5,281.9031810479667
27,71705.94030316487,8,403.75941239828376
47,55736.47754945993,5,339.61515906869516
25,57252.07960231727,10,348.6882090543674
