age,income,purchase_frequency,target
65,26593.66314100635,2,259.8864128276365
56,55365.93616437826,0,301.32679594846684
37,41057.69732252527,4,305.00937858044637
68,44264.107850053835,6,369.0510357850612
39,32365.21787155261,7,335.0813512893761
34,40986.52593172948,3,282.78152295153046
65,60600.5351363875,2,320.41180000583716
37,51991.86290385248,6,311.5057475738783
21,65787.73926491934,6,355.18272104669114
42,59128.94266773232,5,354.57966995209324
59,50269.04014715491,3,338.1475201170811
27,65927.2143140135,7,350.5280031271211
42,50267.91790485958,3,277.8072146241759
24,54935.85812156471,6,337.8697215692848
53,41441.148557583496,4,305.0589573381052
42,45798.549790310455,3,249.28186736919832
35,36630.91412039668,4,282.7639915158772
29,56875.007215138234,3,256.50155613049736
47,30860.356522621612,5,274.2155820077757
52,54388.20410901194,4,358.21003567522604
66,42712.18730993809,5,376.12195497601846
40,59054.965121607835,8,361.7968028737764
26,54010.42786477512,4,292.63302498129633
61,66847.75389176162,5,382.7479582450973
50,53769.296293663734,8,423.1631311389588
54,26135.51693216111,4,267.21365490783415
23,44196.56192522159,4,266.45544338977766
34,30935.91368886221,6,323.64633854698167
57,38780.641891604704,4,298.46550072884423
61,63134.74119932066,3,358.9135165779705
40,52650.405730772356,4,283.75795215929617
59,36612.834857055044,6,330.60101483226356
61,32835.391602715215,9,340.6788464389023
38,45393.38511451513,6,305.2780946099162
64,30401.27820742647,5,329.3865835178982
32,36946.316671241024,2,241.29452552074778
30,48744.11365861493,6,317.1061125061704
53,58863.74443328036,3,311.35249638694233
51,52305.13766669328,3,306.39715386856085
25,17504.5258968228,8,291.0313151356595
61,48652.400748363114,5,365.1631256259614
28,45864.402878790934,6,262.82587207564586
59,49966.683424472314,3,299.09814336368845
18,64394.51617981448,4,313.5709572034091
59,20241.140678343087,5,284.30501903744045
58,37906.758897706735,13,448.4810426459479
58,52090.87587352026,4,339.13255746957157
52,26020.86720655269,5,283.34437715323725
42,62711.38857664211,4,325.28571323354066
54,49420.2793524079,4,318.7305289101058
32,55159.00783012085,3,316.69286265669655
58,38148.676061738464,8,351.25719346536266
46,54765.16427959452,6,353.47419409630993
41,57821.658671868456,6,358.5101616237053
44,47794.53624164602,4,339.5960910807812
47,47812.81071238435,6,336.01945626004243
19,48244.11887138071,3,283.4643708629807
25,34639.85682312742,6,313.91930171155525
30,43229.655837115766,9,356.18422637441853
23,43169.729610571696,7,314.7250796396081
40,49600.726372241945,5,315.6203793035196
52,56997.890962923535,4,331.27931924099545
52,32297.56701625909,6,334.0799312440549
42,43499.89163616507,3,287.01998281744045
62,62777.46657190768,6,394.6607273272128
47,36076.94125424923,4,266.04941230090174
22,35132.99979251616,4,237.3161980375276
57,47427.67430197432,3,351.12428509948825
47,55132.62228582384,12,443.1087300658739
51,45137.11266672791,2,265.97878542188863
47,60947.52708524387,5,381.91703748227366
46,55281.527790798325,10,421.39922655526766
22,55101.840802680745,3,293.166779942652
47,51649.39801588912,5,331.93785452614753
59,72931.83720415302,4,370.29021259677
33,42538.05973360747,6,311.2843920172691
49,20957.73249520183,6,263.0607015844312
19,64251.05233820569,0,249.54355648801345
36,39507.606828518095,3,273.13587519788854
40,46294.5653321164,5,352.5983953411079
69,60714.60821832632,4,365.94919773675696
29,25772.885507292896,9,274.6622301703797
32,29980.233430726326,4,256.48075820576025
39,25784.664754573754,6,343.15941217131365
69,35470.364519694915,5,346.06805373909066
62,50275.63927220392,7,363.73349966823605
19,51290.25411375325,4,297.20263851611764
30,48315.290151942645,9,352.7903118060905
60,28046.8093932916,3,246.01746839564603
21,17278.758760408273,8,272.79013025613506
62,45652.24302468459,10,417.5350148341464
32,39338.68759633997,8,299.63426514401203
65,50512.629260599344,4,316.04207271042594
33,53423.44351465524,4,306.65359829295755
40,46658.89718470418,3,278.1543308496293
52,54121.59702451024,5,353.53941947194227
24,47750.53648938082,5,275.0077064325904
46,51360.7764672176,5,347.20382790550116
44,36543.92084556141,7,307.21265974991894
58,42844.663034022495,5,363.14401210679756
69,47361.31315988349,2,273.20746063220065
52,54846.34170500902,2,280.24159800234975
39,40275.10593330514,8,355.69762792724686
39,51254.00706878535,5,357.59267916752344
39,41809.93449701545,5,311.7207297163543
60,43589.49399206244,3,315.43614638777274
34,54954.228504288876,7,356.05919504203894
26,21083.275547350127,5,227.8385820123964
35,29442.33206310287,3,236.08189716141814
19,27213.77523068615,7,257.9893560617468
23,16996.606561820343,6,226.01901376810326
22,36860.826718137876,7,313.1566318226707
58,53993.206796732884,2,285.12285395170653
55,41581.391203409104,4,315.55386254128547
54,47373.48098330222,4,293.5105069221825
42,58070.60996052951,9,407.4688803233941
55,60932.2335872123,6,368.0908157951653
26,44170.344783286324,7,352.6730002395855
64,61243.03067483277,9,440.76043926124686
44,46105.51990120931,4,329.72669766230143
66,34951.221314070455,6,323.98950829963707
25,37867.195773615174,4,266.8572583521137
43,27233.561849219805,2,216.44538053611402
54,34342.39375519617,5,300.21268265550395
43,40703.79974310685,3,272.7655150313212
41,54643.02023254322,6,333.96887605134367
26,65649.23797399181,5,313.18841877106973
37,28413.82181547552,3,217.95729715789798
30,49713.92961911903,7,293.6328969240901
33,32513.472730109585,2,213.50001619015
53,50696.36506155843,4,337.5426080565538
50,43426.96019174728,3,259.8839497432289
49,23029.130089829636,7,282.49580325459317
36,56139.56389882181,5,366.29709922230194
67,37739.99144629523,3,288.15006189562536
22,38593.197139517346,7,315.00731446233146
35,32162.97106452372,6,309.17228505905734
24,37148.60067974933,7,321.3477239551243
35,50134.68528833901,3,256.8230859645168
68,42729.067908763136,7,367.43694221953643
37,48943.94402738977,5,284.9233426644117
65,49343.062247146125,2,355.6124816724987
43,60847.939866338005,4,301.398374452364
54,40886.56618962745,2,255.6163280018585
41,27277.706197851217,3,227.94339529887233
31,57806.668998863795,6,312.88012846326995
57,41022.141934832944,2,307.49616206479675
68,58375.10933492852,4,406.79917669152695
31,49600.52535818965,7,331.88606833012693
58,43426.34963755986,5,305.0442363382315
31,49185.310728555545,6,280.8321114825907
55,68412.15072151559,3,342.94212707258913
59,69923.76634864503,5,379.3202242340612
41,45832.57362159334,8,347.8392247159838
56,46922.2871198049,2,295.47207931913437
32,57914.881889596625,4,322.133226635503
22,34852.06760679183,7,307.5658003723417
23,48996.84447141906,3,264.2711915034684
41,44689.64582455372,3,261.54685505762217
64,48766.89853749064,8,407.65045903111564
24,34999.57432860713,3,244.0494238456449
41,25925.190080292374,3,263.81753065727776
54,20124.1987681045,2,250.84990852565363
28,31591.390644124705,4,228.3475399073071
55,39495.896580728004,2,246.30734901230397
33,41481.70096021486,9,342.4525875456191
60,68246.7739491542,6,377.36823973249506
48,58271.92043888758,4,349.2488763972971
46,33454.906603900476,6,319.1360067275593
27,49172.50142941148,2,282.72868273452923
42,40115.0611637961,6,328.5598586758105
62,41587.63394351886,4,321.74825952450504
19,47223.90779298458,9,376.2424111928526
57,52430.05340370472,6,372.6546536021104
43,40928.89819339182,5,309.819815655538
55,57766.2183928123,6,401.14149746423834
52,31296.74128629115,5,302.2971002356381
40,45076.06874834722,6,322.065325398336
34,76172.08471914999,6,366.387704262747
50,47676.9569115033,4,329.41442300391486
25,62198.57407927407,7,384.13815899539753
48,46098.242138078494,4,308.7847362474884
22,51969.32514395756,4,316.4969627635119
51,44318.6016672877,8,330.4369026951439
50,42955.109026029546,6,334.80115055590085
22,35646.211239294964,2,226.8905242365012
57,50163.616307490636,9,389.1873451668343
39,34781.553729770785,5,339.04032821917906
58,52987.02283576115,3,319.25019301774705
20,58023.44405335092,7,336.89227267461314
27,49398.37688684676,3,276.71599604236366
43,41565.0151973317,0,194.6737556241468
27,50447.586951704354,8,338.0978153965104
35,41295.92333344305,5,319.2566460557942
52,56226.56550558179,4,322.27422391250803
25,23023.126989418517,2,189.4687507228316
53,40972.711582576245,4,331.73593589544043
23,21110.256058512026,6,286.6256001360606
27,27059.270037273538,5,271.85834951776997
48,61366.346757766914,3,316.2303468347605
59,55742.21978366023,4,337.49501826499403
26,36366.23720058252,1,202.84947516966585
33,26969.958527509236,8,293.64445467444557
66,9425.653945900187,6,267.16297812563175
69,38478.05390480839,5,322.3950196739126
48,74044.98014696882,5,359.99554048024277
41,50218.61125756377,4,278.36312014426454
36,38285.13256740612,3,269.1583185298903
49,50580.96251400367,5,339.6538366458761
48,26268.499764066684,4,304.1528546966997
33,41432.11964762837,8,329.09747192816275
19,46193.729676188865,7,326.10947114484316
25,43966.792178147414,4,284.18783594179087
67,54489.67346028097,5,359.3025956980513
39,49135.74271483263,11,424.9581572046588
43,53019.91221729596,5,348.14440817160624
42,36739.532613230884,3,275.42728713041254
58,55773.78490092658,8,396.0347757008972
21,64547.2433714879,5,322.14388457188505
22,33358.20576418305,7,270.76133355242496
32,34347.65213142528,4,250.97694869049678
43,61029.41203584279,5,336.21867359365183
52,42703.87215965928,6,315.32830907072986
43,61845.85670479869,6,374.09019274335066
40,39689.571457293794,3,296.3117002943278
66,62460.54691524853,7,390.95984518391407
26,46577.82980166543,4,290.02448831822363
47,48098.745879872346,3,276.9152689691505
46,63776.61626003885,4,336.65478910129445
42,40658.754270669946,10,367.91091695778437
59,33706.5348489005,4,310.25098266992984
31,39617.22950365975,5,277.8586955304759
67,50428.00740771766,4,361.48922308956827
35,26210.89113383383,6,279.50736679442366
46,52649.65083181346,2,277.5072274717303
45,38534.74418858708,6,296.0033831302709
62,58773.75192880276,3,342.0115940635125
40,16268.87634119434,9,333.4421207269123
32,35561.21069874997,3,259.98884652823745
19,24762.382185190778,4,277.10139769867004
36,35085.24640363257,6,331.9662418566735
60,47971.99081330732,7,366.7934263322743
18,42849.28049460294,4,260.93801231306446
64,41959.46917262382,7,375.1128727349547
46,43089.78154343927,9,359.61917947836486
25,47440.65888743932,2,278.2070839055284
33,32897.56749668271,6,302.62714543023714
46,53482.195690788605,9,402.29356959874787
34,52951.99164462581,10,410.44305664466793
23,49620.45525187321,5,336.29750817112756
52,51678.40131301516,6,359.1759096697804
52,48557.01600970391,7,362.2532246019801
24,69420.8796327728,6,387.8161517319972
32,43954.86994736988,8,365.6607482145625
30,41315.00137998508,4,272.2104059522957
52,35957.669035711464,7,339.41906704460337
55,32612.84795306596,4,295.1333142249079
55,30066.3385487871,4,293.36893598967384
66,34334.43224122898,5,295.73686746367565
57,44151.83542017514,5,300.8539786843191
34,49011.541541972576,5,296.0752826438961
23,45613.70470262594,5,274.532640545025
49,35813.576670843446,5,292.55067306223685
65,55802.21476823956,2,332.2986423782792
68,53872.95206761137,8,405.967321008728
29,43084.220310935794,3,269.8963327220754
30,37165.006264023454,8,305.84394432720165
19,51581.13504995759,5,291.7294260414963
25,47255.68304983326,3,281.25651933456334
46,27622.47288701943,7,327.34399493757485
46,44184.23692818714,10,379.0769972926161
37,48144.42974489257,3,288.9221072173762
34,34203.66256214696,3,298.18428219394053
61,47278.12071404931,3,312.4042828429859
41,27542.130176906532,7,295.4205214309642
60,61034.23320014605,8,410.5932186130489
68,59975.39982071318,7,408.39434179196303
34,41969.79198836442,5,296.71621636291786
28,49361.452054068875,3,276.69581009460774
67,16080.9364104015,8,303.6929368820662
51,31123.828076816004,4,264.195046651913
33,41474.65295817444,5,294.56260117491894
50,32134.40374287769,2,250.96344808530665
44,53572.75779156791,2,278.62173008593584
65,68967.55836897592,3,357.3948450164231
31,30880.623366848376,3,245.18154384198084
69,34950.43915097769,2,300.4891474324459
66,47825.380419719164,3,317.8665261349173
27,64333.393781995444,6,359.0488516699559
26,30331.50824952116,6,271.03101047036387
45,47988.4334676833,6,351.41878140733627
20,66855.58620975731,4,325.22577837176175
33,25178.890221848793,4,267.27412050729396
40,29627.169517850016,2,251.5235482845898
68,39916.72072246994,7,378.20815390256274
69,38752.93904573507,5,333.33752991831454
25,54751.21545304373,2,274.40121544697683
64,47899.91663785006,4,353.87001184473064
22,23700.45528429446,7,265.7594191805331
56,51184.92483480973,2,287.0016940956822
61,38069.53335173219,6,342.9676946624716
64,60293.36660329487,4,365.6923270118988
29,37468.94956275696,8,313.25576914023384
64,37360.616602773174,5,325.0259819372802
24,51493.57932965438,3,274.90718317473306
44,54155.11778804324,8,336.80463326401707
42,50377.19236723444,6,336.76250494929366
34,24772.832191382302,3,232.19930772579528
19,51456.413279139015,8,342.50696770181764
58,32588.303379907215,5,338.09489225135974
35,47823.31333905916,4,273.3306607079408
52,27915.186775211278,3,246.7379221263303
39,50355.865770516764,4,255.26781557464687
37,35320.81314831153,8,325.42329297314024
64,29608.38419687374,6,318.10389731122746
22,53565.84163778879,4,283.3321397488925
56,47899.73426012102,5,360.15301530991724
56,37632.27838328524,5,334.67690721330973
37,62414.146188252766,9,405.7854268618516
31,39712.17094116309,5,284.21208081152895
18,45385.292087651214,8,352.89437753743965
66,48226.96137214321,3,320.2587655475694
67,37564.00879045664,8,359.1626168025441
30,50653.63552079915,7,307.9822974919073
19,38598.57183402331,4,251.17085379013298
24,40060.34013340549,3,269.01355261026316
21,61351.711677640094,6,383.434197146142
61,32512.967369850805,4,299.4581416634911
64,16046.636028846118,5,268.5861617552861
25,64331.24394014273,6,324.9631837146012
56,75591.93543128404,3,374.42296878868007
27,40136.76881460802,2,207.38121658153068
37,21757.943512557777,8,318.92278905321336
49,41274.19228564868,4,317.7026166965556
55,41565.32460191197,5,332.85623826848126
63,42720.91390773292,0,256.64859437669463
20,31639.34349693782,5,273.57750006481194
28,51954.73370971773,4,300.9282348420015
32,51294.088503433035,1,240.42570016965425
34,27067.13256216832,5,306.94251157183714
69,53390.360780338655,8,402.547133968467
58,69632.2197833507,2,354.37948557569956
34,47063.52398924472,6,276.55476232457517
68,40952.09805517793,1,304.03361376597445
43,43295.961427109745,5,342.56719774731107
44,52383.081203622736,6,348.1628381497782
40,24231.940733913383,3,252.6393021625819
25,46972.68843572763,7,340.11568050360654
66,40314.43260644628,7,351.97319382007805
18,67173.90015547254,2,296.89024641973185
27,42909.927194340504,4,262.04724499122995
29,65014.65133343424,2,282.654164193962
32,31755.111626615915,4,284.4490861174778
24,52047.110001633504,9,387.3873738172711
18,48832.80316549475,3,250.13809628867364
53,34571.43302562261,2,248.07133918122437
68,47128.75337564328,4,322.9455747021331
24,59550.22604197921,8,382.55324341326826
33,41114.499548560794,3,246.82930348091367
44,24696.44820996284,3,254.3271492006447
66,44789.24608227065,2,313.7154283772272
54,34170.92286248985,5,306.3769367191177
57,40891.90873603341,2,300.3850914093653
48,44020.94676377855,1,254.55569013776125
39,24532.173407813792,8,311.5872347957493
28,25612.099928151863,3,210.2792752336666
62,50784.8020263063,6,386.31315100501666
59,38727.37564596384,4,292.92434235235027
19,14223.067898153196,4,218.2415721506076
55,54418.12843929762,1,288.40993553607655
22,48268.437063290876,7,306.8812128643485
56,36433.50211156219,6,317.88494134665797
60,29198.037467301103,3,303.0535197154169
24,55029.69475577205,4,302.89254036423375
40,49192.20747072515,9,361.20140811411346
24,73591.22739220888,6,372.0890205313916
47,50042.263184699244,3,298.56224573750757
66,49652.43769514418,8,467.585803435172
22,42996.86483869722,4,278.0962065042399
38,54801.310406409495,3,292.5901238714917
68,52501.022414977844,6,405.0026031856978
33,60020.70010278234,3,267.8206768597078
24,38744.124976352585,7,313.1746530803272
43,39775.11032467245,3,316.03879054296635
44,39250.761949056236,3,273.9775382109174
52,54489.62065414787,8,356.71322041533415
34,62980.49328356078,0,258.8426272789096
67,39493.914082208394,5,363.4781889835975
45,39902.715266482905,3,286.3268224593813
32,48768.92668643759,7,324.1607311826249
67,42050.86199984518,9,385.7968678561099
66,56424.64383767868,9,415.8552822523611
43,17978.67251257144,0,194.7813027062228
19,35079.539436997264,8,339.7230015327676
49,35611.00399246265,1,266.0704682409087
46,17155.72785136626,13,393.6316993449151
25,33436.33866757435,5,245.23978213399903
50,34018.126609848885,4,261.47760293982896
61,42586.744145774035,3,314.03852871582336
23,58355.59069992317,5,292.4017594411884
55,42059.27218571157,5,320.60720395005103
25,32630.235356746154,6,291.3434796372158
56,44316.54550543765,7,338.0812111036215
39,57590.08345729619,10,391.4949202274151
18,33288.494206621144,4,246.29456712188593
68,34073.10139294262,4,319.81920853636626
26,51702.58751129068,9,390.83555043085653
48,42341.566611230395,4,314.42420191787187
27,52769.81628851369,7,344.4127644768713
66,44836.23849845644,2,283.9485819257719
56,53419.96377707481,3,297.6217876372593
59,32579.062631512308,7,330.7405834964417
40,44854.98419054079,8,365.90868008069293
42,42471.71982764212,5,317.0759137878311
50,30409.30891075043,4,238.82057810699843
58,26238.26462557574,3,251.36298868580138
62,53228.988423295945,3,349.948127878715
18,40788.57141338426,5,279.76144378285136
52,32732.636620232046,3,244.52509497840444
23,43845.852756920016,3,307.40812914580306
32,58536.22628819163,6,344.89361793008794
61,17631.145855536925,4,276.14897089734205
31,27040.335721160085,6,289.27116656322283
59,33925.36269725679,2,261.2988160713099
42,62534.14640064395,3,305.91681916486
30,48391.04379503156,4,335.21558729138195
35,54207.80688553472,5,345.47973116342445
45,31318.068970485234,1,248.07488196314398
57,31565.569496753684,5,318.0569228278716
49,50373.764600672526,8,359.4811813941114
66,45699.29197122536,13,491.1491877772562
63,51584.86582636952,8,381.907078492504
57,42747.948108858574,6,349.56163218073004
49,48337.72471745552,4,282.6876513256197
33,46897.42901886131,3,237.57768102477226
39,54333.208669019106,6,351.8322413911005
24,54684.09938333365,4,281.9862134227691
37,25561.536067298763,12,335.7397207086521
66,18032.777335909734,6,316.07774473076097
40,57020.94477181809,5,379.44350496465194
